채용글번호,채용글제목,직무타입,직무기술스택,경력,학력,근무형태,필수사항,우대사항,급여,직급/직책,근무일시,근무지역,남은지원기간,기업코드
42707723,앱 개발(android / ios),모바일,"ios,android",경력 2년 ↑,"대졸(2,3년제) 이상",정규직,,자격증:정보처리기사,면접 후 결정,"수석연구원, 책임연구원, 선임연구원",주 5일(월~금),(135-080) 서울 강남구 역삼동 708-8 세방빌딩 신관17층 서울 2호선 선릉역에서 100m 이내,2,aTV4VGF4M3JxbkJENXREbnNiSkt5Zz09
42764059,.NET/VB.NET/C#/ASP.NET/PB/MS-SQL 채용 공고,"백엔드,기타","asp,c#",무관(신입포함),"대졸(2,3년제) 이상",정규직,,,면접 후 결정,,주 5일(월~금) 09:30~19:30,(04377) 서울 용산구 한강대로23길 55 용산역(한강로3가) 서울 1호선 용산역에서 100m 이내,28,dGVodURqamNIcTNQcnFacGpFS20rdz09
42946525,솔루션 PM / PL / 개발직 채용,기타,,경력 5년 ↑,"대졸(2,3년제) 이상",정규직,,자격증:정보처리기사,면접 후 결정,"부장, 차장, 과장",주 5일(월~금),(135-080) 서울 강남구 역삼동 708-8 세방빌딩 신관17층 서울 2호선 선릉역에서 100m 이내,19,aTV4VGF4M3JxbkJENXREbnNiSkt5Zz09
42971682,쌍용건설 ERP 운영 - Java 자바,백엔드,"java,자바",경력 1년 ↑,대졸(4년제) 이상,정규직,,,면접 후 결정,"대리, 사원, 과장",주 5일(월~금) 08:30~17:30,(05510) 서울 송파구 올림픽로 299 대한제당 (3층 쌍용건설 전산실)(신천동) 서울 8호선 잠실역에서 200m 이내,53,
43003724,보안솔루션 개발자 정규직 모집,기타,,무관(신입포함),"대졸(2,3년제) 이상(예정자 가능)",정규직,,"전공:컴퓨터/시스템공학,활동/경험:해당직무 근무경험, 석사학위 수여자, 박사학위 수여자",면접 후 결정,,,(08511) 서울 금천구 벚꽃로 254 월드메르디앙1차 603호(가산동) 서울 7호선 가산디지털단지역에서 500m 이내,6,
42834190,[월250만/우수복지] 와디즈 IT헬프데스크 직원 채용,기타,,무관(신입포함),"대졸(2,3년제) 이상","계약직, 파견직",,,면접 후 결정,,09:00~18:00,(13487) 경기 성남시 분당구 판교로 242(삼평동),상시 채용,RFZ1eklNNEZ0NisxMlpzN1V0UVBDUT09
43003429,연구·R&D/IT개발·데이터 정규직 모집 공고(경력),기타,,경력(년수무관),대졸(4년제) 이상(예정자 가능),정규직,,"전공:공학계열,활동/경험:해당직무 근무경험",면접 후 결정,연구원,면접 후 결정,(35365) 대전 서구 관저동로 170 건양 타워 210호,29,OEtNMFFYY0NwMThXS0FzN1Z3Rk5YZz09
43003414,[강남/브랜드의류 가격비교플랫폼] 개발자 대리과장급 채용,기타,,경력 5년 ↑,대졸(4년제) 이상,정규직,,,면접 후 결정,,,"서울 강남구, 서울전체, 경기전체",29,RmNnWE1aRTFyY0JmWklFYW13M2c3UT09
43003386,안양샘병원 전산팀 OCS/EMR 프로그램 개발 담당자 채용,기타,,무관(신입포함),"대졸(2,3년제) 이상",정규직,,활동/경험:해당직무 근무경험,면접 후 결정,사원 / 팀원,면접 후 결정 08:30~17:30,(430-015) 경기 안양시 만안구 안양5동 613-8 안양샘병원 인사총무팀 서울 1호선 안양역에서 1km 이내,5,Z05uZHV6QTJ5bDgrakJMd2VFcWxFdz09
43003351,백엔드 개발자 모집,백엔드,,경력 3년 ↑,대졸(4년제) 이상,정규직,,,면접 후 결정,,유연근무제,(18449) 경기 화성시 삼성1로4길 7-4(석우동),29,ZWQ5OUNOcStkNmlKY21Qa2gyWXNvUT09
